GEO_ID,NAME,totalUnits,mobileUnits
37001,"Alamance County, North Carolina",69749,8342
37003,"Alexander County, North Carolina",16399,5111
37005,"Alleghany County, North Carolina",8160,1392
37007,"Anson County, North Carolina",11594,2929
37009,"Ashe County, North Carolina",17649,3820
37011,"Avery County, North Carolina",14166,2241
37013,"Beaufort County, North Carolina",25930,6963
37015,"Bertie County, North Carolina",9841,3607
37017,"Bladen County, North Carolina",17877,6624
37019,"Brunswick County, North Carolina",86968,19513
37021,"Buncombe County, North Carolina",121591,17321
37023,"Burke County, North Carolina",41092,10634
37025,"Cabarrus County, North Carolina",78093,4943
37027,"Caldwell County, North Carolina",37950,7215
37029,"Camden County, North Carolina",4228,662
37031,"Carteret County, North Carolina",49911,9057
37033,"Caswell County, North Carolina",10778,2904
37035,"Catawba County, North Carolina",68693,9668
37037,"Chatham County, North Carolina",31555,5203
37039,"Cherokee County, North Carolina",18104,3618
37041,"Chowan County, North Carolina",7301,1597
37043,"Clay County, North Carolina",7309,1437
37045,"Cleveland County, North Carolina",43579,8420
37047,"Columbus County, North Carolina",26250,8234
37049,"Craven County, North Carolina",46911,6393
37051,"Cumberland County, North Carolina",145839,13122
37053,"Currituck County, North Carolina",15557,2228
37055,"Dare County, North Carolina",34515,1925
37057,"Davidson County, North Carolina",74311,11424
37059,"Davie County, North Carolina",18582,3457
37061,"Duplin County, North Carolina",25876,9346
37063,"Durham County, North Carolina",133429,1836
37065,"Edgecombe County, North Carolina",24945,5961
37067,"Forsyth County, North Carolina",163382,6245
37069,"Franklin County, North Carolina",28012,7171
37071,"Gaston County, North Carolina",91779,10214
37073,"Gates County, North Carolina",5336,1735
37075,"Graham County, North Carolina",6017,1605
37077,"Granville County, North Carolina",24069,5033
37079,"Greene County, North Carolina",8316,3191
37081,"Guilford County, North Carolina",226743,6991
37083,"Halifax County, North Carolina",25919,5686
37085,"Harnett County, North Carolina",51230,11099
37087,"Haywood County, North Carolina",35398,6397
37089,"Henderson County, North Carolina",56939,8753
37091,"Hertford County, North Carolina",10632,2780
37093,"Hoke County, North Carolina",20709,4120
37095,"Hyde County, North Carolina",3249,546
37097,"Iredell County, North Carolina",72834,9889
37099,"Jackson County, North Carolina",27073,4810
37101,"Johnston County, North Carolina",73685,12796
37103,"Jones County, North Carolina",4958,1628
37105,"Lee County, North Carolina",24463,3531
37107,"Lenoir County, North Carolina",27550,6497
37109,"Lincoln County, North Carolina",35227,7410
37111,"McDowell County, North Carolina",21297,6643
37113,"Macon County, North Carolina",25557,3507
37115,"Madison County, North Carolina",10892,2796
37117,"Martin County, North Carolina",11608,2532
37119,"Mecklenburg County, North Carolina",435795,6149
37121,"Mitchell County, North Carolina",8812,1552
37123,"Montgomery County, North Carolina",16235,3737
37125,"Moore County, North Carolina",46638,6965
37127,"Nash County, North Carolina",42876,8242
37129,"New Hanover County, North Carolina",109244,4472
37131,"Northampton County, North Carolina",11670,2621
37133,"Onslow County, North Carolina",78501,11375
37135,"Orange County, North Carolina",57502,4799
37137,"Pamlico County, North Carolina",7721,1970
37139,"Pasquotank County, North Carolina",17108,2089
37141,"Pender County, North Carolina",28601,6773
37143,"Perquimans County, North Carolina",7136,1587
37145,"Person County, North Carolina",18428,4173
37147,"Pitt County, North Carolina",78563,9528
37149,"Polk County, North Carolina",11674,1750
37151,"Randolph County, North Carolina",62147,13428
37153,"Richmond County, North Carolina",21380,5574
37155,"Robeson County, North Carolina",53065,20342
37157,"Rockingham County, North Carolina",43977,7412
37159,"Rowan County, North Carolina",61329,10115
37161,"Rutherford County, North Carolina",34275,7127
37163,"Sampson County, North Carolina",27610,10152
37165,"Scotland County, North Carolina",15295,3599
37167,"Stanly County, North Carolina",27638,3609
37169,"Stokes County, North Carolina",22186,5530
37171,"Surry County, North Carolina",34030,8366
37173,"Swain County, North Carolina",8951,2451
37175,"Transylvania County, North Carolina",19560,2737
37177,"Tyrrell County, North Carolina",2229,676
37179,"Union County, North Carolina",79644,4666
37181,"Vance County, North Carolina",20117,4808
37183,"Wake County, North Carolina",421426,13644
37185,"Warren County, North Carolina",11948,3798
37187,"Washington County, North Carolina",6458,1542
37189,"Watauga County, North Carolina",33520,2936
37191,"Wayne County, North Carolina",54074,13379
37193,"Wilkes County, North Carolina",33480,9235
37195,"Wilson County, North Carolina",36005,4873
37197,"Yadkin County, North Carolina",17401,4508
37199,"Yancey County, North Carolina",11211,2427